Transaction Date,Transaction Description,Amount,Balance
08/31/2025,Interest Paid,0.25,0.25
08/19/2025,Transfer To CHECKING 5195,-8.0,2000.0
08/17/2025,Transfer To CHECKING 5195,-3.0,2008.0
08/15/2025,Transfer To CHECKING 5195,-20.0,2011.0
08/15/2025,Transfer To CHECKING 5195,-20.0,2031.0
08/14/2025,Transfer To CHECKING 5195,-15.0,2051.0
08/13/2025,Transfer To CHECKING 5195,-51.0,2066.0
08/12/2025,Transfer To CHECKING 5195,-27.0,2117.0
08/12/2025,Transfer To CHECKING 5195,-6.0,2144.0
08/06/2025,Transfer To CHECKING 5195,-51.2,2150.0
08/06/2025,Transfer To CHECKING 5195,-100.0,2201.2
07/31/2025,Interest Paid,0.23,2301.2
07/24/2025,Transfer From CHECKING 5195,300.0,2300.97
06/30/2025,Interest Paid,0.82,2000.97
06/10/2025,Transfer To CHECKING 5195,-50.0,2000.15
06/04/2025,Transfer To CHECKING 5195,-1000.0,2050.15
06/03/2025,Transfer To CHECKING 5195,-2500.0,3050.15
05/31/2025,Interest Paid,6.23,5550.15
05/30/2025,Transfer From CHECKING 5195,230.0,5543.92
05/29/2025,Transfer To CHECKING 5195,-100.0,5313.92
05/29/2025,Transfer To CHECKING 5195,-10.0,5413.92
05/29/2025,Transfer To CHECKING 5195,-15.0,5423.92
05/27/2025,Transfer To CHECKING 5195,-36.22,5438.92
05/26/2025,Transfer To CHECKING 5195,-17.5,5475.14
05/16/2025,Transfer From CHECKING 5195,530.63,5492.64
05/15/2025,Transfer To CHECKING 5195,-5.0,4962.01
05/15/2025,Transfer To CHECKING 5195,-14.0,4967.01
05/14/2025,Transfer From CHECKING 5195,4980.0,4981.01
05/13/2025,Transfer To CHECKING 5195,-25.0,1.01
05/11/2025,Transfer To CHECKING 5195,-5.0,26.01
05/11/2025,Transfer To CHECKING 5195,-7.5,31.01
05/11/2025,Transfer To CHECKING 5195,-13.5,38.51
05/09/2025,Transfer To CHECKING 5195,-27.0,52.01
05/08/2025,Transfer To CHECKING 5195,-15.0,79.01
05/07/2025,Transfer To CHECKING 5195,-20.0,94.01
05/06/2025,Transfer To CHECKING 5195,-10.0,114.01
05/06/2025,Transfer To CHECKING 5195,-71.0,124.01
05/06/2025,Transfer To CHECKING 5195,-55.0,195.01
05/05/2025,Transfer To CHECKING 5195,-150.0,250.01
05/05/2025,Transfer To CHECKING 5195,-400.0,400.01
05/05/2025,Transfer From CHECKING 5195,800.0,800.01
04/30/2025,Interest Paid,0.01,0.01
04/11/2025,Transfer To CHECKING 5195,-0.91,0.0
03/31/2025,Interest Paid,0.01,0.91
03/07/2025,Transfer To CHECKING 5195,-12.0,0.9
03/05/2025,Transfer To CHECKING 5195,-15.0,12.9
03/04/2025,Transfer To CHECKING 5195,-6.0,27.9
03/01/2025,Transfer To CHECKING 5195,-5.0,33.9
02/28/2025,Interest Paid,0.4,38.9
02/28/2025,Transfer To CHECKING 5195,-14.0,38.5
02/26/2025,Transfer To CHECKING 5195,-4.0,52.5
02/25/2025,Transfer To CHECKING 5195,-15.0,56.5
02/23/2025,Transfer To CHECKING 5195,-4.0,71.5
02/23/2025,Transfer To CHECKING 5195,-4.5,75.5
02/21/2025,Transfer To CHECKING 5195,-3.0,80.0
02/21/2025,Transfer To CHECKING 5195,-15.0,83.0
02/20/2025,Transfer To CHECKING 5195,-4.0,98.0
02/20/2025,Transfer To CHECKING 5195,-2.0,102.0
02/20/2025,Transfer To CHECKING 5195,-11.0,104.0
02/18/2025,Transfer To CHECKING 5195,-10.0,115.0
02/18/2025,Transfer To CHECKING 5195,-10.0,125.0
02/17/2025,Transfer To CHECKING 5195,-30.0,135.0
02/14/2025,Transfer To CHECKING 5195,-10.0,165.0
02/13/2025,Transfer To CHECKING 5195,-20.0,175.0
02/12/2025,Transfer To CHECKING 5195,-5.0,195.0
02/12/2025,Transfer To CHECKING 5195,-34.48,200.0
02/11/2025,Transfer To CHECKING 5195,-3.0,234.48
02/11/2025,Transfer To CHECKING 5195,-25.0,237.48
02/11/2025,Early Pay Tax Refund ACH from IRS TREAS 310,104.0,262.48
02/11/2025,Transfer To CHECKING 5195,-6.0,158.48
02/10/2025,Transfer To CHECKING 5195,-2.0,164.48
